DATE,Open,High,Low,Close,Adj Close,Volume
1,9646.700195,9647.049805,9598.5,9616.400391,9616.400391,141400
2,9615.549805,9654.150391,9595.400391,9606.900391,9606.900391,129700
3,9621.549805,9627.400391,9580.450195,9618.150391,9618.150391,181800
4,9617.900391,9621.400391,9560.799805,9578.049805,9578.049805,171100
5,9595.450195,9615.849609,9565.5,9588.049805,9588.049805,213200
6,9626.400391,9673.299805,9614.900391,9657.549805,9657.549805,141700
7,9670.5,9676.5,9643.75,9653.5,9653.5,159500
8,9648.099609,9650.450195,9608.599609,9633.599609,9633.599609,144000
9,9642.650391,9698.849609,9617.75,9630,9630,198800
10,9643.25,9647.650391,9565.299805,9574.950195,9574.950195,175200
11,9594.049805,9615.400391,9473.450195,9511.400391,9511.400391,203300
12,9520.200195,9522.5,9474.349609,9491.25,9491.25,172400
13,9522.950195,9575.799805,9493.799805,9504.099609,9504.099609,259300
14,9478.5,9535.799805,9448.75,9520.900391,9520.900391,179600
15,9587.950195,9624,9543.549805,9615,9615,183000
16,9645.900391,9650.650391,9595.5,9613.299805,9613.299805,144800
17,9619.75,9643.650391,9607.349609,9637.599609,9637.599609,130800
18,9653.599609,9700.700195,9639.950195,9674.549805,9674.549805,147400
19,9670.349609,9684.25,9642.650391,9665.799805,9665.799805,141800
20,9719.299805,9782.150391,9646.450195,9771.049805,9771.049805,37500
21,9797.450195,9830.049805,9778.849609,9786.049805,9786.049805,179700
22,9807.299805,9824.950195,9787.700195,9816.099609,9816.099609,145500
23,9855.799805,9897.25,9853.450195,9891.700195,9891.700195,181300
24,9913.299805,9913.299805,9845.450195,9886.349609,9886.349609,159600
25,9908.150391,9928.200195,9894.700195,9915.950195,9915.950195,163500
26,9832.700195,9885.349609,9792.049805,9827.150391,9827.150391,293900
27,9855.950195,9905.049805,9851.650391,9899.599609,9899.599609,200200
28,9920.200195,9922.549805,9863.450195,9873.299805,9873.299805,161100
29,9899.599609,9924.700195,9838,9915.25,9915.25,187500
30,9936.799805,9982.049805,9919.599609,9966.400391,9966.400391,174500
31,10010.54981,10011.29981,9949.099609,9964.549805,9964.549805,185500
32,9983.650391,10025.9502,9965.950195,10020.65039,10020.65039,197600
33,10063.25,10114.84961,10005.5,10020.54981,10020.54981,287900
34,9996.549805,10026.04981,9944.5,10014.5,10014.5,191600
35,10034.7002,10085.90039,10016.9502,10077.09961,10077.09961,237700
36,10101.04981,10128.59961,10065.75,10114.65039,10114.65039,184300
37,10136.29981,10137.84961,10054.2002,10081.5,10081.5,161500
38,10081.15039,10081.15039,9998.25,10013.65039,10013.65039,192700
39,10008.59961,10075.25,9988.349609,10066.40039,10066.40039,178600
40,10074.79981,10088.09961,10046.34961,10057.40039,10057.40039,137400
41,10068.34961,10083.79981,9947,9978.549805,9978.549805,203300
42,9961.150391,9969.799805,9893.049805,9908.049805,9908.049805,169200
43,9872.849609,9892.650391,9776.200195,9820.25,9820.25,235500
44,9712.150391,9771.650391,9685.549805,9710.799805,9710.799805,285900
45,9755.75,9818.299805,9752.099609,9794.150391,9794.150391,195600
46,9825.849609,9903.950195,9773.849609,9897.299805,9897.299805,219500
47,9945.549805,9947.799805,9883.75,9904.150391,9904.150391,197600
48,9865.950195,9865.950195,9783.650391,9837.400391,9837.400391,246300
49,9864.25,9884.349609,9740.099609,9754.349609,9754.349609,205300
50,9815.75,9828.450195,9752.599609,9765.549805,9765.549805,183600
51,9803.049805,9857.900391,9786.75,9852.5,9852.5,168600
52,9881.200195,9881.5,9848.849609,9857.049805,9857.049805,184700
53,9907.150391,9925.75,9882,9912.799805,9912.799805,159600
54,9886.400391,9887.349609,9783.75,9796.049805,9796.049805,173300
55,9859.5,9909.450195,9850.799805,9884.400391,9884.400391,157800
56,9905.700195,9925.099609,9856.950195,9917.900391,9917.900391,327700
57,9937.650391,9983.450195,9909.849609,9974.400391,9974.400391,157800
58,9984.150391,9988.400391,9861,9912.849609,9912.849609,148800
59,9933.25,9963.099609,9901.049805,9952.200195,9952.200195,139200
60,9899.25,9931.549805,9882.549805,9916.200195,9916.200195,149200
61,9945.849609,9964.849609,9917.200195,9929.900391,9929.900391,188800
62,9958.650391,9963.599609,9913.299805,9934.799805,9934.799805,163600
63,9971.75,10028.65039,9968.799805,10006.04981,10006.04981,173000
64,10056.84961,10097.54981,10028.04981,10093.04981,10093.04981,182600
65,10099.25,10131.9502,10063.15039,10079.29981,10079.29981,215000
66,10107.40039,10126.5,10070.34961,10086.59961,10086.59961,225600
67,10062.34961,10115.15039,10043.65039,10085.40039,10085.40039,266600
68,10133.09961,10171.7002,10131.29981,10153.09961,10153.09961,156100
69,10175.59961,10178.9502,10129.9502,10147.54981,10147.54981,187500
70,10160.9502,10171.04981,10134.2002,10141.15039,10141.15039,199400
71,10139.59961,10158.90039,10058.59961,10121.90039,10121.90039,191800
72,10094.34961,10095.04981,9952.799805,9964.400391,9964.400391,226600
73,9960.099609,9960.5,9816.049805,9872.599609,9872.599609,221400
74,9875.25,9891.349609,9813,9871.5,9871.5,190900
75,9920.599609,9921.049805,9714.400391,9735.75,9735.75,200100
76,9736.400391,9789.200195,9687.549805,9768.950195,9768.950195,385000
77,9814.299805,9854,9775.349609,9788.599609,9788.599609,196300
78,9893.299805,9895.400391,9831.049805,9859.5,9859.5,162800
79,9884.349609,9938.299805,9850.650391,9914.900391,9914.900391,156200
80,9927,9945.950195,9881.849609,9888.700195,9888.700195,147800
81,9908.150391,9989.349609,9906.599609,9979.700195,9979.700195,195800
82,9988.200195,10015.75,9959.450195,9988.75,9988.75,143900
83,10013.7002,10034,10002.29981,10016.9502,10016.9502,148600
84,10042.59961,10067.25,9955.799805,9984.799805,9984.799805,189700
85,10011.2002,10104.4502,9977.099609,10096.40039,10096.40039,200900
86,10123.7002,10191.90039,10120.09961,10167.4502,10167.4502,230100
87,10207.40039,10242.9502,10175.09961,10230.84961,10230.84961,203000
88,10227.65039,10251.84961,10212.59961,10234.4502,10234.4502,195700
89,10209.40039,10236.4502,10175.75,10210.84961,10210.84961,254200
90,10210.34961,10211.9502,10123.34961,10146.54981,10146.54981,30200
91,10176.65039,10224.15039,10124.5,10184.84961,10184.84961,218100
92,10218.54981,10237.75,10182.40039,10207.7002,10207.7002,217200
93,10321.15039,10340.54981,10240.90039,10295.34961,10295.34961,594200
94,10291.79981,10355.65039,10271.84961,10343.79981,10343.79981,429700
95,10362.29981,10366.15039,10311.29981,10323.04981,10323.04981,312700
96,10353.84961,10384.5,10344.29981,10363.65039,10363.65039,236900
97,10364.90039,10367.7002,10323.9502,10335.29981,10335.29981,232600
98,10390.34961,10451.65039,10383.04981,10440.5,10440.5,260300
99,10440.5,10453,10412.54981,10423.79981,10423.79981,201500
100,10461.54981,10461.7002,10403.59961,10452.5,10452.5,199900
101,10431.75,10490.4502,10413.75,10451.79981,10451.79981,193600
102,10477.15039,10485.75,10340.79981,10350.15039,10350.15039,286900
103,10361.9502,10384.25,10285.5,10303.15039,10303.15039,274500
104,10358.65039,10368.4502,10266.9502,10308.9502,10308.9502,240200
105,10304.34961,10344.9502,10254.09961,10321.75,10321.75,279400
106,10322,10334.15039,10216.25,10224.9502,10224.9502,210300
107,10223.40039,10248,10175.54981,10186.59961,10186.59961,305000
108,10171.9502,10175.4502,10094,10118.04981,10118.04981,207400
109,10152.90039,10232.25,10139.2002,10214.75,10214.75,182600
110,10324.54981,10343.59961,10268.04981,10283.59961,10283.59961,203300
111,10287.2002,10309.84961,10261.5,10298.75,10298.75,147200
112,10329.25,10358.7002,10315.04981,10326.90039,10326.90039,186100
113,10350.79981,10368.7002,10309.54981,10342.29981,10342.29981,157600
114,10358.4502,10374.29981,10307.29981,10348.75,10348.75,153000
115,10366.79981,10404.5,10362.25,10389.7002,10389.7002,129200
116,10361.04981,10407.15039,10340.2002,10399.54981,10399.54981,141900
117,10387.90039,10409.54981,10355.2002,10370.25,10370.25,196000
118,10376.65039,10392.9502,10345.90039,10361.29981,10361.29981,152500
